epoch,train_loss,valid_loss,valid_auc,lr
1,1.2263030281786649,1.123263423001338,0.7915430705413806,0.001
2,1.0842031757921542,1.0260991016939764,0.8200742430270775,0.001
3,1.0420679277159133,1.0190553976767667,0.8244035543159833,0.001
4,1.0640479351439567,1.0727252566379037,0.8174033849252775,0.001
5,1.0581641741923566,1.0043844651985196,0.8295154769267536,0.001
6,1.0614279167877054,1.1344545733486098,0.8084690100360711,0.001
7,1.06359901192953,1.0195990813361386,0.8225954070169772,0.001
8,1.049386212097024,1.2445133878426937,0.8262931142021632,0.001
9,1.0549468401872886,1.1073498573686074,0.8293165413306756,0.001
10,1.02443147368701,1.0426901764571757,0.8344829578506026,0.001
11,1.0256833869781135,1.3835355337386472,0.8292357852966242,0.001
12,1.0863369541663044,1.1129475190781266,0.8251625297254427,0.001
13,1.0491186652363471,1.0238554919374123,0.8379804163334659,0.001
14,1.0355186422321032,1.020340189576113,0.8299291053938466,0.001
15,1.037362677151302,1.029369707665989,0.8369831121405864,0.001
