epoch,train_loss,valid_loss,valid_auc,lr
1,2.7393865378285356,4.788554182090034,0.7649763049978138,0.001
2,2.6119454899981336,2.9734263434497894,0.8132434643419434,0.001
3,2.7007110964385967,2.447035195395337,0.7716206225961949,0.001
4,2.8360105675543252,2.266310481031316,0.7757024133579672,0.001
5,2.708942062944736,2.291155279852133,0.7721977327907578,0.001
6,1.9739193406532396,1.7977433387260944,0.762099945768712,0.0005
7,1.8624723499675966,1.6575720214858143,0.7928272884487356,0.0005
8,1.8745611943029008,1.9216055358388149,0.7900842095034751,0.0005
9,1.42657589240569,1.6448946165023812,0.7986692981315812,0.00025
10,1.235812245180022,1.359348889765263,0.8080580077814675,0.00025
11,1.2500124117833264,1.5768135379096946,0.8003185595749738,0.00025
12,1.233237329240115,1.2699735849025275,0.8051599822993277,0.000125
13,1.1189297023179396,1.1736679115649475,0.8179299405294181,0.000125
14,1.1114067133057792,1.1680606825813007,0.818394780140056,0.000125
15,1.0969742579370174,1.1515680364421081,0.8222579387120792,0.000125
