epoch,train_loss,valid_loss,valid_auc,lr
1,1.2263085415228359,1.1233110853436847,0.7915391312226463,0.001
2,1.084205036298284,1.026098516927973,0.8200834347707907,0.001
3,1.0420679541488864,1.0190797336883066,0.8243969887847595,0.001
4,1.064044409477486,1.0726866601656255,0.8174033849252778,0.001
5,1.0581675791830387,1.0043912341578145,0.829503658970551,0.001
6,1.061402749066083,1.1344520118601402,0.80847426246105,0.001
7,1.063612083237126,1.0195757883519088,0.8226072249731797,0.001
8,1.049397330801442,1.2444580261202833,0.8262957404146527,0.001
9,1.0030694805631097,1.0012473841286338,0.831317058694536,0.0005
10,0.962481007180124,1.026243477511039,0.8339550891402174,0.0005
11,0.9634890431997911,1.149871306893619,0.8282325721256432,0.0005
12,1.0153021499975672,1.043857766572277,0.8294537609332508,0.0005
13,0.9856836426213103,0.9829584559104683,0.836813721435015,0.0005
14,0.982838897646598,1.0300099195183277,0.8305712143475241,0.0005
15,0.9843555107161683,0.9738672356248586,0.8378642064308066,0.0005
