epoch,train_loss,valid_loss,valid_auc,lr
1,1.2263030281786649,1.123263423001338,0.7915430705413806,0.001
2,1.0833364189480836,1.0258439588935362,0.8200676774958539,0.0009891830623632338
3,1.038564565141246,1.0168367242870682,0.8247265784521891,0.0009572050015330873
4,1.0535126676334525,1.056963271886749,0.818400032565035,0.0009054634122155989
5,1.0386334298556705,0.999874903595847,0.8300341538934257,0.0008362196501476348
6,1.0344166117344262,1.1073832317057817,0.8119592464345883,0.0007524999999999999
7,1.027181484046972,1.0084047838528278,0.8252899010311823,0.0006579634122155989
8,1.0025124809921913,1.0486477834020465,0.8268498712499328,0.0005567415893174885
9,0.9915802804344105,0.9976512681149731,0.8306867676970611,0.00045325841068251166
10,0.9488791724196021,1.0134733590409002,0.8325027936335357,0.00035203658778440114
11,0.9415064069729931,1.0732403306345042,0.8274972326285892,0.00025750000000000013
12,0.9738395238012638,1.002421676554854,0.8312947358883754,0.00017378034985236532
13,0.9420541665239154,0.979280497133282,0.8353482948658858,0.00010453658778440104
14,0.9433107006324912,0.985486140837311,0.8330359147688998,5.2794998466912506e-05
15,0.9404136448671233,0.9831961493836837,0.8333733830737978,2.081693763676618e-05
