epoch,train_loss,valid_loss,valid_auc,lr
1,1.2263034671297612,1.1233683198267623,0.7915246870539542,0.001
2,1.084212336207336,1.0261099723901699,0.8200781823458118,0.001
3,1.0420626984542272,1.0190967361696026,0.8243956756785149,0.001
4,1.0640438571830966,1.0727182102192574,0.817386314544096,0.001
5,1.058163752699798,1.0043939964993642,0.8295115376080194,0.001
6,1.061420279651318,1.1344560826252927,0.8084952721609658,0.001
7,1.0636001957992338,1.0196373139016404,0.8225888414857535,0.001
8,1.0494359259020607,1.2445573142170006,0.8262537210148211,0.001
9,1.0030268962518225,1.0013108393360113,0.8312829179321728,0.0005
10,0.9624800791875371,1.0262956487567556,0.8339445842902596,0.0005
11,0.9635030258646551,1.1500322176292517,0.828208936213238,0.0005
12,1.015294840695723,1.0438689448809717,0.8294498216145165,0.0005
13,0.985680455540711,0.9829854307453905,0.8367927117350992,0.0005
14,0.982846339041332,1.0300693801620235,0.8305764667725032,0.0005
15,0.9843954012303983,0.9739079733755593,0.837841883624646,0.0005
