experiment_type,name,display_name,optimizer,scheduler,best_auc,best_epoch,final_auc,final_valid_loss,best_model_path,metrics_path
optimizer_and_scheduler,adam_plateau,Adam / ReduceLROnPlateau,adam,plateau,0.8378602671120724,15,0.8378602671120724,0.9738702164777916,D:\NNDL\skin-lesion-transfer-learning\outputs\checkpoints\tuning_resnet18_20260626_222832\adam_plateau\best_model.pth,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\tuning_resnet18_20260626_222832\adam_plateau\metrics.csv
optimizer,adamw_plateau,AdamW,adamw,plateau,0.8378642064308066,15,0.8378642064308066,0.9738672356248586,D:\NNDL\skin-lesion-transfer-learning\outputs\checkpoints\tuning_resnet18_20260626_222832\adamw_plateau\best_model.pth,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\tuning_resnet18_20260626_222832\adamw_plateau\metrics.csv
optimizer,sgd_plateau,SGD+momentum,sgd,plateau,0.8222579387120792,15,0.8222579387120792,1.1515680364421081,D:\NNDL\skin-lesion-transfer-learning\outputs\checkpoints\tuning_resnet18_20260626_222832\sgd_plateau\best_model.pth,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\tuning_resnet18_20260626_222832\sgd_plateau\metrics.csv
scheduler,adam_fixed,Fixed LR,adam,fixed,0.8379804163334659,13,0.8369831121405864,1.029369707665989,D:\NNDL\skin-lesion-transfer-learning\outputs\checkpoints\tuning_resnet18_20260626_222832\adam_fixed\best_model.pth,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\tuning_resnet18_20260626_222832\adam_fixed\metrics.csv
scheduler,adam_cosine,CosineAnnealingLR,adam,cosine,0.8353482948658858,13,0.8333733830737978,0.9831961493836837,D:\NNDL\skin-lesion-transfer-learning\outputs\checkpoints\tuning_resnet18_20260626_222832\adam_cosine\best_model.pth,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\tuning_resnet18_20260626_222832\adam_cosine\metrics.csv
