epoch,train_loss,valid_loss,valid_auc,lr
1,1.2263030281786649,1.123263423001338,0.7915430705413806,0.001
2,1.0842031757921542,1.0260991016939764,0.8200742430270775,0.001
3,1.0420679277159133,1.0190553976767667,0.8244035543159833,0.001
4,1.0640479351439567,1.0727252566379037,0.8174033849252775,0.001
5,1.0581641741923566,1.0043844651985196,0.8295154769267536,0.001
6,1.0614279167877054,1.1344545733486098,0.8084690100360711,0.001
7,1.06359901192953,1.0195990813361386,0.8225954070169772,0.001
8,1.049386212097024,1.2445133878426937,0.8262931142021632,0.001
9,1.003050102710724,1.0012632614350772,0.8313091800570678,0.0005
10,0.9624779853730832,1.0262493776872084,0.8339550891402173,0.0005
11,0.9635006702980905,1.1498734547657943,0.8282260065944195,0.0005
12,1.0152931844153494,1.0438092841218325,0.8294563871457403,0.0005
13,0.9856793852752109,0.9829682620169711,0.8368045296913019,0.0005
14,0.9828452361709666,1.03004394659203,0.8305699012412794,0.0005
15,0.9843721411138211,0.9738702164777916,0.8378602671120724,0.0005
