name,display_name,strategy,best_auc,best_epoch,final_auc,final_valid_loss,trainable_params_count,best_model_path,metrics_path,trainable_params_path
unfreeze_last10,Unfreeze Last 10 Layers,unfreeze_last10,0.6201431492842535,1,0.6201431492842535,1.421846023166036,4853761,D:\NNDL\skin-lesion-transfer-learning\outputs\checkpoints\finetune_resnet18_20260627_002752\unfreeze_last10\best_model.pth,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\finetune_resnet18_20260627_002752\unfreeze_last10\metrics.csv,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\finetune_resnet18_20260627_002752\unfreeze_last10\trainable_params.txt
full_finetune,Full Fine-tuning,full_finetune,0.7075664621676891,1,0.7075664621676891,1.3186691611646169,11177025,D:\NNDL\skin-lesion-transfer-learning\outputs\checkpoints\finetune_resnet18_20260627_002752\full_finetune\best_model.pth,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\finetune_resnet18_20260627_002752\full_finetune\metrics.csv,D:\NNDL\skin-lesion-transfer-learning\outputs\tables\finetune_resnet18_20260627_002752\full_finetune\trainable_params.txt
